,Product Lookup,,Location Filters,,,,,
Delete,Product Name,Product Sku,Type,Zone,State,City,Locality,PIN Code
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Zone || State || City || Locality,Only string value,Only string value,Only string value,Only string value,Only number value
* Required,* Required,* Required,* Required,---,---,---,---,---
N,"Pvr Forum Centre City Mall - Mysore, Mysore, Karnataka",CINEMA000180,locality,South,Karnataka,Mysore,,570010
N,"Pvr Garuda-Mysore, Mysore, Karnataka",CINEMA000181,locality,South,Karnataka,Mysore,,570001
N,"Pvr Inox Centro Mysore, Mysore, Karnataka",CINEMA000182,locality,South,Karnataka,Mysore,,570001
N,"Pvr Inox Mall Of Mysore, Mysore, Karnataka",CINEMA000183,locality,South,Karnataka,Mysore,,570010
N,"Pvr Inox S Mall, Tumakuru, Tumakuru, Karnataka",CINEMA000184,locality,South,Karnataka,Tumakuru,,572106
N,"Cinemax Oberon Mall - Cochin, Cochin, Kerala",CINEMA000185,locality,South,Kerala,Cochin,,682024
N,"Pvr Forum Mall -Kochi, Cochin, Kerala",CINEMA000186,locality,South,Kerala,Cochin,,682304
N,"Pvr Lulu Mall - Kochi, Cochin, Kerala",CINEMA000187,locality,South,Kerala,Cochin,,682024
N,"Pvr Cinemas, Lulu Mall, Thiruvananthapuram, Thiruvananthapuram, Kerala",CINEMA000188,locality,South,Kerala,Thiruvananthapuram,,695029
N,"Pvr-Kripa Cinemas, Thiruvananthapuram, Kerala",CINEMA000189,locality,South,Kerala,Thiruvananthapuram,,695036
N,"Pvr Inox Sobha City Mall, Thrissur, Kerala",CINEMA000190,locality,South,Kerala,Thrissur,,680553
N,"Pvr-Thecinema -Pondicherry, Puducherry, Puducherry",CINEMA000191,locality,South,Puducherry,Puducherry,,605001
N,"Pvr Aero Hub, Chennai, Chennai, Tamil Nadu",CINEMA000192,locality,South,Tamil Nadu,Chennai,,600016
N,"Pvr Ampa Mll - Chennai, Chennai, Tamil Nadu",CINEMA000193,locality,South,Tamil Nadu,Chennai,,600030
N,"Pvr Ecr Chennai, Chennai, Tamil Nadu",CINEMA000194,locality,South,Tamil Nadu,Chennai,,600119
N,"Pvr Galaxy Mall Redhills, Chennai, Tamil Nadu",CINEMA000195,locality,South,Tamil Nadu,Chennai,,600052
